User ID,Energy (kWh),Charging Time (seconds),Total Duration (seconds),Session Count,Cluster
0.0,6.76266975120773,7357.429951690821,10182.888888888889,414,0
102.0,8.742772500000001,9808.5,9825.5,2,2
107.0,4.403939,4622.0,5496.375,8,1
111.0,6.203329,6007.1578947368425,8190.578947368421,19,2
140.0,2.5331475,6424.5,6433.5,2,1
151.0,4.798030947368421,3164.2631578947367,3374.7894736842104,19,1
153.0,2.0676810000000003,3370.0,7921.0,2,1
161.0,10.881597,6583.0,6678.0,1,2
166.0,3.934272333333334,2811.3333333333335,3454.0,3,1
194.0,8.37827025,6810.75,7890.818181818182,44,2
263.0,5.782163499999999,5889.172413793103,7258.620689655172,58,1
376.0,5.772008347826087,5563.521739130435,7268.782608695652,23,1
378.0,3.9755628888888888,4790.222222222223,4828.333333333333,9,1
433.0,6.144,7144.0,7851.0,1,2
1166.0,9.1260095,8838.5,8849.5,2,2
1190.0,6.3465405,4147.75,4310.5,4,1
1238.0,2.5958324444444445,2779.0,4489.333333333333,9,1
1329.0,6.367609,3688.0,3699.0,1,1
1351.0,10.847152000000001,6689.5,6728.0,2,2
1380.0,2.7190000000000003,2957.5,2981.0,2,1
1381.0,9.927,5811.0,5859.0,1,2
1391.0,4.813838236842105,4314.710526315789,5195.684210526316,38,1
1446.0,1.793061,4727.0,4882.0,1,1
1531.0,2.099385,1285.0,4811.0,1,1
1574.0,9.144541,23241.0,7166.0,1,2
1589.0,3.238029,5958.0,5994.0,1,1
1590.0,1.258202,3480.0,3573.0,1,1
1670.0,5.0087660000000005,5878.0,7235.0,3,1
1729.0,3.583396756756757,3241.7567567567567,3448.108108108108,37,1
1906.0,7.222367666666667,5492.533333333334,6074.066666666667,15,1
1960.0,7.15987375,7083.25,7948.0,4,2
1984.0,5.786274,3497.0,3531.0,2,1
2062.0,11.743081,7080.0,7255.0,1,2
2127.0,5.0709005,5639.0,8587.0,4,1
2212.0,12.085674,7716.0,7733.0,1,2
2243.0,3.1055230000000003,4472.6,4507.0,5,1
2247.0,5.8629809999999996,6175.0,8138.5,2,2
2267.0,4.360779444444445,3742.777777777778,3998.3333333333335,9,1
2268.0,3.1296162857142855,3241.6428571428573,3302.9285714285716,14,1
2280.0,2.500355,2844.5,2859.0,2,1
2305.0,8.5106115,8442.5,8450.5,2,2
2317.0,1.1367500000000001,1402.5,1422.0,4,1
2318.0,0.437201,1239.0,3288.0,1,1
2319.0,2.376,2688.5,2708.5,2,1
2347.0,6.562099048780488,7844.804878048781,7994.09756097561,82,2
2394.0,4.95941,5120.0,5127.0,1,1
2464.0,9.17694775,5716.0,5726.75,4,2
2483.0,25.5346375,16143.5,24993.625,8,0
2488.0,2.1925413076923075,2648.076923076923,3966.769230769231,13,1
2504.0,6.041786666666667,6230.333333333333,6239.0,3,1
2535.0,10.047204545454546,11286.869318181818,11602.619318181818,176,0
2545.0,7.1428625721153844,6120.096153846154,6823.677884615385,208,0
2554.0,7.6780735,9811.0,13248.5,4,2
2557.0,2.432596959183673,4443.306122448979,4511.918367346939,49,1
2584.0,7.5053972,7589.6,8588.6,5,2
2655.0,5.6658,6920.0,6949.0,1,2
2670.0,6.71380694251497,8402.567664670658,14260.536526946107,835,0
2685.0,9.3995,10652.5,10809.5,2,2
2717.0,2.8955,2850.0,2861.0,1,1
2735.0,4.612630444444445,4776.444444444444,5272.333333333333,9,1
2738.0,3.5378435,3423.5,3437.5,2,1
2769.0,4.837544333333334,4967.0,4979.333333333333,3,1
2778.0,6.49032875,4253.25,6841.5,4,1
2819.0,3.7150385,4677.833333333333,4694.0,6,1
2828.0,2.644976966666667,2656.4666666666667,3081.1666666666665,30,1
2845.0,1.8020316666666665,3377.6666666666665,3508.3333333333335,3,1
2886.0,3.9860975454545455,4821.636363636364,6556.818181818182,11,1
2944.0,2.5613276666666667,3539.222222222222,5206.555555555556,9,1
2951.0,20.469931,13288.0,13340.0,1,0
2954.0,5.501579333333333,6248.666666666667,9186.833333333334,6,2
2959.0,8.127281,9895.0,10251.0,2,2
2998.0,7.527451928571429,5041.142857142857,5053.5,14,1
3014.0,3.494362,4784.0,4805.0,1,1
3027.0,5.405888,5230.0,5239.0,1,1
3034.0,3.684696,9647.0,9957.0,1,2
3048.0,8.882201,9445.0,10572.0,2,2
3061.0,6.276399,3444.0,3530.0,1,1
3064.0,3.2931818,3934.4,4442.0,5,1
3065.0,10.495093,13100.0,13110.0,1,2
3068.0,3.3814770277777777,3513.25,4034.5,36,1
3076.0,5.7658935,6715.0,6721.0,2,1
3081.0,9.759586,12497.0,12520.0,1,2
3129.0,7.474132833333333,4810.0,4924.666666666667,6,1
3130.0,7.224504,7235.0,14820.0,1,2
3141.0,4.5768872,4474.6,4648.3,10,1
3190.0,11.996395902255639,13320.135338345865,18573.917293233084,133,0
3196.0,3.445,3925.0,3949.0,1,1
3204.0,2.133315,2854.0,12911.0,1,1
3206.0,2.415045,3079.5,6580.0,2,1
3208.0,2.501452,3120.0,7858.0,1,1
3210.0,0.269829,344.0,354.0,1,1
3211.0,2.9449515,3655.0,5497.0,2,1
3217.0,8.764296,9028.333333333334,9052.333333333334,3,2
3222.0,3.295768,4189.0,4353.5,2,1
3226.0,5.95080715720524,7804.1659388646285,10209.794759825327,229,0
3227.0,1.231,777.0,6942.0,1,1
3228.0,2.2510008,3777.0,3842.6,5,1
3237.0,4.731653964285714,5669.75,7264.25,28,1
3245.0,5.9545805000000005,5833.5,5848.5,2,1
3247.0,5.976675,6778.0,8737.0,1,2
3277.0,1.7491336666666666,1862.3333333333333,5007.666666666667,3,1
3284.0,5.461053,5838.5,7935.0,2,1
3302.0,0.683498,2400.0,2683.0,1,1
3303.0,4.7272181818181815,5709.181818181818,6163.181818181818,11,1
3306.0,6.922281,8480.0,9494.0,1,2
3316.0,3.701,2212.0,2229.0,1,1
3329.0,7.963944406504065,14871.317073170732,20375.69918699187,123,0
3346.0,8.840299333333332,9298.666666666666,9657.333333333334,3,2
3355.0,6.494185666666667,5539.0,5553.333333333333,3,1
3363.0,3.8632074,4332.933333333333,7324.6,15,1
3365.0,4.95254426923077,5675.576923076923,7987.7307692307695,26,1
3386.0,5.239815500000001,5132.5,5147.5,2,1
3388.0,3.673543,4339.666666666667,4700.0,3,1
3390.0,1.639025,1694.0,1705.0,1,1
3421.0,7.308926199999999,7480.4,8241.2,5,2
3438.0,6.48183,7537.0,7587.0,2,2
3439.0,12.150245,9850.0,9864.0,2,2
3446.0,1.733729,1999.0,2016.0,1,1
3461.0,5.746,3285.0,3303.0,1,1
3473.0,7.395777,7508.0,7590.0,2,2
3477.0,4.900233500000001,4227.5,4666.5,2,1
3480.0,6.628100875,7795.625,8034.75,8,2
3494.0,7.0405205,7340.5,9695.0,2,2
3502.0,2.5155023611111114,5010.907407407408,6615.777777777777,108,1
3511.0,6.458958,6599.0,6607.0,1,2
3513.0,5.451967111111111,5030.533333333334,5650.844444444445,45,1
3530.0,5.765539428571429,6808.857142857143,8279.0,7,2
3534.0,4.64678,4719.35,5664.75,20,1
3554.0,1.0389835,1014.0,1025.0,2,1
3560.0,4.540477166666666,5176.666666666667,5898.666666666667,18,1
3563.0,2.3056056666666667,2811.5833333333335,3041.75,12,1
3573.0,2.0708663157894738,2519.1052631578946,4373.868421052632,38,1
3574.0,4.420771,5369.0,5381.0,1,1
